,businessname,ratingvalue,structural,hygiene,confidenceinmanagement,ratingdate,latitude,longitude
423922,1 West Road,Pass,,,,2012-08-03,55.955284,-2.792551
423923,1650 Coffee Shop,Pass,,,,2013-08-30,56.001623,-2.516023
423924,1875,Pass,,,,2013-09-27,55.931316,-3.073077
423925,2nd Haddington Scouts Group,Pass,,,,2010-08-24,55.952757,-2.781578
423926,5B Catering,Pass,,,,2015-02-10,55.977433,-2.900915
423927,A And J McDowall Ltd,Pass,,,,2014-01-30,55.999605,-2.808033
423928,A G Ices,Pass,,,,2014-04-11,,
423929,A Horsburgh Bed and Breakfast,Pass,,,,2013-02-26,55.936196,-2.944651
423930,A M Hogg (Confectioner),Pass,,,,2015-02-03,55.902161,-2.745582
423931,A S Gardner & Sons,Pass,,,,2014-01-07,55.943899,-2.952524
423932,A S Services,Pass,,,,2013-12-17,55.935353,-3.071828
423933,A S Services,Pass,,,,2012-06-26,55.972398,-2.952696
423934,A S Services,Pass,,,,2013-12-17,55.972398,-2.952696
423935,Abbey Church,Pass,,,,2013-02-05,56.058385,-2.721007
423936,Abbey Residential Nursing Home,Pass,,,,2014-04-14,56.056266,-2.729895
423937,Abbeyfield (East Linton) Society Ltd,Pass,,,,2014-08-18,55.987568,-2.658073
423938,Abbeyfield (Scotland) Ltd,Pass,,,,2015-02-09,55.954499,-2.778938
423939,Abbeyfield Scotland Ltd,Pass,,,,2010-08-10,55.998895,-2.51294
423940,Abbeyfield Scotland Ltd,Pass,,,,2014-10-23,56.059412,-2.737261
423941,Aberlady Bowling Club,Pass,,,,2005-04-05,56.007816,-2.866404
423942,Aberlady Community Hall,Pass,,,,2013-05-21,56.009985,-2.859556
423943,Aberlady Kirk Stables,Pass,,,,2012-11-30,56.008366,-2.863562
423944,Aberlady Post Office,Pass,,,,2008-05-06,56.00967,-2.858379
423945,Aberlady Primary School Nursery Class,Pass,,,,2014-05-15,56.007373,-2.864309
423946,Aberlour Childcare Trust,Pass,,,,2014-06-04,55.955584,-2.996263
423947,Adamwood Nursing Home,Pass,,,,2014-07-03,55.946179,-3.022233
423948,Adniston Manor,Pass,,,,2010-07-07,55.945192,-2.914657
423949,Adriano's Food Bar,Pass,,,,2014-05-27,56.003167,-2.51638
423950,Aitken Pharmacy,Pass,,,,2011-09-29,56.001555,-2.515108
423951,Alandas,Pass,,,,2014-04-03,55.958125,-2.989761
