,businessname,ratingvalue,structural,hygiene,confidenceinmanagement,ratingdate,latitude,longitude
442411,Lady Alice Primary School,Pass,,,,2014-01-21,55.942025,-4.785988
442412,Lalleys,Improvement Required,,,,2015-01-12,55.943056,-4.819297
442413,Larkfield Children's Centre,Pass,,,,2014-04-08,55.943048,-4.815293
442414,Larkfield Masonic Association,Pass,,,,2010-03-23,55.938225,-4.813949
442415,Larkfield View Care Home,Pass,,,,2014-04-02,55.945431,-4.821953
442416,L'Arlecchino Restaurant,Pass,,,,2012-11-27,55.950943,-4.761605
442417,League Of Friends,Pass,,,,2014-02-13,55.943803,-4.809789
442418,Legends,Pass,,,,2010-03-23,55.951156,-4.763703
442419,Leo's,Pass,,,,2014-09-01,55.949277,-4.759308
442420,Lesley Bakes Cakes,Pass,,,,2012-02-06,55.956905,-4.783052
442421,Lidl,Pass,,,,2014-12-08,55.949732,-4.756265
442422,Lidl,Pass,,,,2010-03-17,55.932261,-4.679606
442423,Lifestyle,Improvement Required,,,,2014-08-14,55.941759,-4.738128
442424,Lifestyle Express,Improvement Required,,,,2011-06-21,55.938623,-4.727593
442425,Lighthouse Bar,Pass,,,,2010-03-23,55.946241,-4.751595
442426,Little Chef,Pass,,,,2014-11-24,55.952148,-4.763998
442427,Lloyds Pharmacy,Pass,,,,2010-07-01,,
442428,Lloyds Pharmacy,Pass,,,,2012-03-06,55.92512,-4.665313
442429,Lodge Cumberland Kilwinning,Pass,,,,2010-10-28,55.934191,-4.689187
442430,Lodge Doric Kilwinning No. 68,Pass,,,,2010-03-12,55.934977,-4.695599
442431,Lomond View Academy,Pass,,,,2014-02-21,55.940656,-4.74609
442432,Londis,Pass,,,,2014-11-27,55.954629,-4.767988
442433,Londis,Improvement Required,,,,2014-08-19,55.943045,-4.785389
442434,Loreta Club,Pass,,,,2010-06-01,55.952863,-4.76658
442435,Loritoni,Pass,,,,2014-07-17,55.952148,-4.763998
442436,Lorna's Tearoom,Improvement Required,,,,2013-07-09,55.960977,-4.780636
442437,Louis's,Pass,,,,2014-05-27,55.93405,-4.687848
442438,Lows,Pass,,,,2014-12-08,55.950857,-4.761007
442439,Lucky House,Pass,,,,2014-11-11,55.959142,-4.815917
442440,Luigi's,Pass,,,,2014-10-27,55.946697,-4.766941
442441,Lynedoch Bar,Pass,,,,2010-01-25,55.942611,-4.757552
442442,Lynedoch Off Sales,Pass,,,,2010-03-12,55.944683,-4.755746
442443,M & J Family Grocers,Pass,,,,2014-10-24,55.931933,-4.676077
442444,Macaris Fish & Chicken Bar,Pass,,,,2014-10-08,55.876068,-4.888389
442445,Maclehose Court,Pass,,,,2013-09-23,55.957068,-4.772216
442446,Madeira Nursery,Pass,,,,2014-05-30,55.957521,-4.776847
442447,Maitland Butcher,Pass,,,,2014-05-01,55.943849,-4.756471
442448,Manzil,Pass,,,,2014-03-31,55.945092,-4.755951
442449,Marchmont House,Pass,,,,2014-06-05,55.932142,-4.699052
442450,Marcus Humphrey House,Pass,,,,2014-03-10,55.867272,-4.616669
442451,Mario's Fish And Chips,Improvement Required,,,,2014-02-20,55.959142,-4.815917
442452,Marks & Spencer,Pass,,,,2015-01-27,55.948202,-4.759584
442453,Masonic Temple,Pass,,,,2010-05-27,55.949448,-4.762508
442454,Massas Caf̩,Pass,,,,2012-09-20,55.950446,-4.762099
442455,McAnerney Pharmacy/Post Office,Pass,,,,2010-06-09,55.941913,-4.785003
442456,McCormick Newsagents,Pass,,,,2014-09-11,55.939131,-4.727373
442457,McDonalds Restaurant Ltd,Pass,,,,2014-02-27,55.944234,-4.731928
442458,McIntyre Fishmongers,Pass,,,,2012-03-20,55.947454,-4.768854
442459,Mclean Museum & Art Gallery,Exempt,,,,2011-03-22,55.951095,-4.767239
442460,McPherson Centre,Pass,,,,2012-11-15,55.954023,-4.825526
442461,Meadowlark Community Centre,Pass,,,,2014-08-13,55.94151,-4.822805
442462,Mearns Centre,Pass,,,,2010-05-26,55.943421,-4.760317
442463,Mearns T McCaskie,Pass,,,,2015-02-03,55.876068,-4.888389
442464,Mecca,Pass,,,,2013-08-14,55.951247,-4.757237
442465,Mei Lees Takeaway,Improvement Required,,,,2014-09-11,55.959142,-4.815917
442466,Merino Court Care Home - HC-One,Pass,,,,2014-04-28,55.941467,-4.76809
442467,Merrybrook,Pass,,,,2013-11-28,55.867272,-4.616669
442468,Millar Catering,Pass,,,,2012-09-26,55.942494,-4.754341
442469,Monteiths Bar,Pass,,,,2014-12-08,55.958245,-4.81505
442470,Monty's Munchies,Pass,,,,2014-09-24,55.940795,-4.810052
442471,Moorfoot Nursery Class,Pass,,,,2014-11-26,55.950681,-4.833661
442472,Moorfoot School,Pass,,,,2014-01-22,55.950681,-4.833661
442473,Morgans,Pass,,,,2012-10-01,55.950353,-4.761868
442474,Morrisons,Pass,,,,2011-09-14,55.945648,-4.750384
442475,Morrisons (Petrol Station),Pass,,,,2010-02-08,55.945648,-4.750384
442476,Muirshiel Resource Centre,Pass,,,,2014-03-17,55.924815,-4.666541
442477,Murrays,Pass,,,,2010-03-23,55.934277,-4.689769
442478,Murray's,Pass,,,,2014-10-07,55.934277,-4.689769
442479,MV Argyle,Pass,,,,2014-05-08,55.960377,-4.814965
442480,MV Bute,Pass,,,,2014-05-08,55.960377,-4.814965
442481,My Newsagent Too,Pass,,,,2011-06-09,55.936649,-4.739883
442482,My Newsagents,Pass,,,,2010-05-25,55.951335,-4.762562
442483,Neil Street Home,Pass,,,,2014-02-04,55.941432,-4.797877
442484,New Best Cellar,Pass,,,,2014-12-08,55.940831,-4.733802
442485,New Canton,Improvement Required,,,,2014-11-27,55.941759,-4.738128
442486,New Dawn Books & Coffee Shop,Pass,,,,2014-09-11,55.951156,-4.763703
442487,New Highland Star,Pass,,,,2014-07-08,55.945763,-4.758497
442488,New Look,Pass,,,,2010-10-08,55.949277,-4.759308
